rules,suppport,confidence,lift
"{vacation=generous,shift.differential=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],working.hours=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,shift.differential=[-Inf; Inf],standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,wage.increase.first.year=(2.9; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,standby.pay=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,working.hours=[-Inf; Inf],wage.increase.first.year=(2.9; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,working.hours=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{vacation=generous,wage.increase.third.year=[-Inf; Inf],wage.increase.first.year=(2.9; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.25,1.00,0.00 
"{bereavement.assistance=yes,wage.increase.first.year=(2.9; Inf],statutory.holidays=(10.5; Inf],wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.24,1.00,0.00 
"{bereavement.assistance=yes,wage.increase.first.year=(2.9; Inf],statutory.holidays=(10.5; Inf],wage.increase.third.year=[-Inf; Inf]} => {class=good}",0.24,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],standby.pay=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{shift.differential=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],shift.differential=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{shift.differential=[-Inf; Inf],standby.pay=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{working.hours=[-Inf; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{shift.differential=[-Inf; Inf],contribution.to.dental.plan=full,wage.increase.second.year=[-Inf; Inf]} => {class=good}",0.22,1.00,0.00 
"{wage.increase.first.year=(2.9; Inf],contribution.to.dental.plan=full} => {class=good}",0.22,1.00,0.00 
"{ } => {class=good}", 0,0,0
