rules,suppport,confidence,lift
"{A9=t,A15=(492; Inf],A1=b} => {class=+}",0.11,1.00,0.00 
"{A9=t,A4=u,A15=(492; Inf],A1=b} => {class=+}",0.10,1.00,0.00 
"{A9=t,A1=b,A15=(492; Inf],A10=t} => {class=+}",0.10,1.00,0.00 
"{A9=t,A8=(1.02; Inf],A15=(492; Inf],A1=b} => {class=+}",0.09,1.00,0.00 
"{A15=[-Inf;492],A9=f,A10=t} => {class=-}",0.09,1.00,0.00 
"{A13=g,A15=[-Inf;492],A9=f,A10=t} => {class=-}",0.08,1.00,0.00 
"{A13=g,A5=p,A9=f,A8=[-Inf;1.02]} => {class=-}",0.08,1.00,0.00 
"{A9=t,A15=(492; Inf],A11=(2.5; Inf],A1=b} => {class=+}",0.08,1.00,0.00 
"{A15=[-Inf;492],A9=f,A10=t,A11=(0.5;2.5]} => {class=-}",0.07,1.00,0.00 
"{A4=u,A15=[-Inf;492],A9=f,A10=t} => {class=-}",0.07,1.00,0.00 
"{A5=g,A15=[-Inf;492],A9=f,A10=t} => {class=-}",0.07,1.00,0.00 
"{A12=f,A5=p,A9=f,A3=[-Inf;4.02]} => {class=-}",0.07,1.00,0.00 
"{A12=f,A4=y,A9=f,A3=[-Inf;4.02]} => {class=-}",0.07,1.00,0.00 
"{A15=[-Inf;492],A9=f,A10=t,A3=[-Inf;4.02]} => {class=-}",0.07,1.00,0.00 
"{A14=[-Inf;111],A11=(2.5; Inf],A1=b,A9=t} => {class=+}",0.07,1.00,0.00 
"{A9=t,A15=(492; Inf],A1=b,A7=v} => {class=+}",0.06,1.00,0.00 
"{A7=ff,A6=ff,A9=f} => {class=-}",0.06,1.00,0.00 
"{A8=(1.02; Inf],A15=(492; Inf],A11=(2.5; Inf],A1=b} => {class=+}",0.06,1.00,0.00 
"{A8=[-Inf;1.02],A15=[-Inf;492],A9=f,A10=t} => {class=-}",0.06,1.00,0.00 
"{A9=t,A15=(492; Inf],A1=b,A3=[-Inf;4.02]} => {class=+}",0.06,1.00,0.00 
"{A12=t,A8=(1.02; Inf],A15=(492; Inf],A9=t} => {class=+}",0.06,1.00,0.00 
"{A8=(1.02; Inf],A15=(492; Inf],A9=t,A3=[-Inf;4.02]} => {class=+}",0.06,1.00,0.00 
"{ } => {class=-}", 0,0,0
