rules,suppport,confidence,lift
"{RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.09,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.09,1.00,0.00 
"{SCALED.VARIANCE_MAJOR=(163.5;180.5],RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf]} => {Class=van}",0.09,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],PR.AXIS.ASPECT.RATIO=(52.5;68.5],DISTANCE.CIRCULARITY=(76.5;92.5]} => {Class=van}",0.08,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.08,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf]} => {Class=van}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],SKEWNESS.ABOUT_MAJOR=(74.5; Inf],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16]} => {Class=van}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],PR.AXIS.RECTANGULARITY=(18.5;19.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],PR.AXIS.RECTANGULARITY=(18.5;19.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],MAX.LENGTH.RECTANGULARITY=(135.5;147.5]} => {Class=bus}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],SCALED.VARIANCE_MINOR=(298.5;347.5],MAX.LENGTH.RECTANGULARITY=(135.5;147.5]} => {Class=bus}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;11.5],ELONGATEDNESS=(44.5;46.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{SCALED.RADIUS.OF.GYRATION=(170.5;188.5],SCALED.VARIANCE_MAJOR=(163.5;180.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],PR.AXIS.ASPECT.RATIO=(52.5;68.5]} => {Class=van}",0.06,1.00,0.00 
"{RADIUS.RATIO=[-Inf;167.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],HOLLOWS.RATIO=(189.5; Inf],SCALED.VARIANCE_MINOR=(347.5;389.5]} => {Class=van}",0.06,1.00,0.00 
"{ } => {Class=bus}", 0,0,0
