rules,suppport,confidence,lift
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],slope=(1.5; Inf],chest=(3.5; Inf]} => {class=present}",0.12,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],number_of_major_vessels=(0.5; Inf],chest=(3.5; Inf]} => {class=present}",0.09,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],sex=0,serum_cholestoral=[-Inf; Inf]} => {class=absent}",0.14,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],sex=0,age=[-Inf; Inf]} => {class=absent}",0.14,1.00,0.00 
"{thal=[-Inf;4.5],exercise_induced_angina=0,sex=0,maximum_heart_rate_achieved=[-Inf;147.5]} => {class=absent}",0.06,1.00,0.00 
"{fasting_blood_sugar=0,oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1} => {class=present}",0.08,1.00,0.00 
"{thal=(4.5; Inf],exercise_induced_angina=0,number_of_major_vessels=(0.5; Inf],chest=(3.5; Inf]} => {class=present}",0.07,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1} => {class=present}",0.07,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],slope=(1.5; Inf],sex=0} => {class=absent}",0.06,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],exercise_induced_angina=1,chest=(3.5; Inf]} => {class=present}",0.10,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],sex=0,oldpeak=[-Inf;1.7]} => {class=absent}",0.14,1.00,0.00 
"{fasting_blood_sugar=1,number_of_major_vessels=[-Inf;0.5],exercise_induced_angina=0,resting_electrocardiographic_results=[-Inf; Inf]} => {class=absent}",0.05,1.00,0.00 
"{oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1} => {class=present}",0.09,1.00,0.00 
"{ } => {class=absent}", 0,0,0
