duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
All,3.25_to_inf,-inf_to_3.96071428571,All,,All,,All,All,,All,average,,,yes,,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,ret_allw,All,All,yes,All,below_average,,full,,full,good
All,3.25_to_inf,-inf_to_3.96071428571,All,,All,empl_contr,All,All,,All,generous,yes,half,yes,half,good
All,3.25_to_inf,3.96071428571_to_inf,All,tc,All,,All,All,yes,All,,,,yes,,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,average,,half,yes,half,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,,All,,All,All,yes,All,average,,,,,good
All,3.25_to_inf,3.96071428571_to_inf,All,tc,All,empl_contr,All,All,,All,generous,yes,none,yes,half,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,below_average,,,,,good
All,3.25_to_inf,-inf_to_3.96071428571,All,none,All,empl_contr,All,All,,All,generous,yes,full,,,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,,All,All,,All,generous,,,yes,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,,,full,,,good
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,,All,generous,,full,yes,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,empl_contr,All,All,,All,average,,full,yes,,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,,All,,All,All,,All,below_average,,,,,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,tc,All,ret_allw,All,All,no,All,below_average,yes,half,,none,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,none,All,All,yes,All,average,no,none,no,none,bad
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,,All,generous,,,,,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,generous,,full,,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,,All,,,,,,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,generous,,half,,full,good
All,3.25_to_inf,-inf_to_3.96071428571,All,,All,,All,All,,All,generous,,,,,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,none,All,All,,All,below_average,,half,yes,full,bad
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,yes,All,below_average,yes,none,,half,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,,All,All,yes,All,generous,,,yes,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,,All,All,no,All,below_average,yes,full,yes,full,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,,All,none,All,All,,All,average,,,yes,full,bad
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,,All,All,no,All,average,,half,,,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,tc,All,none,All,All,no,All,below_average,yes,half,yes,full,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,,All,empl_contr,All,All,,All,average,,,,,bad
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,none,All,All,no,All,below_average,no,none,,none,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,tc,All,none,All,All,no,All,below_average,no,half,yes,full,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,none,All,All,no,All,average,yes,none,yes,full,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,tc,All,ret_allw,All,All,no,All,generous,no,none,no,none,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,empl_contr,All,All,no,All,below_average,yes,half,,none,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,,All,empl_contr,All,All,,All,average,,,yes,none,bad
All,3.25_to_inf,-inf_to_3.96071428571,All,none,All,none,All,All,yes,All,average,no,none,no,none,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,none,All,empl_contr,All,All,yes,All,generous,yes,none,yes,full,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,tc,All,empl_contr,All,All,,All,average,,,yes,,bad
All,-inf_to_3.25,-inf_to_3.96071428571,All,tcf,All,none,All,All,,All,below_average,,,yes,,bad
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,none,All,All,,All,below_average,no,none,,none,bad
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,no,All,below_average,no,half,,half,bad
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,,All,All,,All,average,,full,yes,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,,All,,yes,half,,half,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,,All,All,,All,below_average,yes,,,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,ret_allw,All,All,,All,average,yes,full,yes,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,,yes,full,,,good
All,-inf_to_3.25,-inf_to_3.96071428571,All,tcf,All,empl_contr,All,All,yes,All,,yes,half,yes,,good
All,3.25_to_inf,3.96071428571_to_inf,All,tcf,All,,All,All,,All,generous,,,yes,full,good
All,3.25_to_inf,-inf_to_3.96071428571,All,none,All,empl_contr,All,All,,All,average,yes,full,,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,none,All,empl_contr,All,All,,All,generous,yes,,,full,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,average,,half,yes,half,good
All,3.25_to_inf,3.96071428571_to_inf,All,,All,,All,All,,All,generous,yes,full,yes,full,good
