duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,average,,,yes,,good
All,2.9_to_inf,All,All,,All,ret_allw,All,All,yes,10.5_to_inf,below_average,,full,,full,good
All,2.9_to_inf,All,All,,All,empl_contr,All,All,,10.5_to_inf,generous,yes,half,yes,half,good
All,2.9_to_inf,All,All,tc,All,,All,All,yes,10.5_to_inf,,,,yes,,good
All,-inf_to_2.9,All,All,,All,,All,All,yes,10.5_to_inf,average,,,,,good
All,2.9_to_inf,All,All,tc,All,empl_contr,All,All,,10.5_to_inf,generous,yes,none,yes,half,good
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,below_average,,,,,good
All,2.9_to_inf,All,All,,All,,All,All,yes,10.5_to_inf,below_average,yes,half,yes,,good
All,2.9_to_inf,All,All,none,All,empl_contr,All,All,,10.5_to_inf,generous,yes,full,,,good
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,,,full,,,good
All,2.9_to_inf,All,All,none,All,,All,All,no,-inf_to_10.5,below_average,no,half,,half,bad
All,2.9_to_inf,All,All,tcf,All,,All,All,,10.5_to_inf,generous,,full,yes,full,good
All,2.9_to_inf,All,All,none,All,,All,All,no,10.5_to_inf,generous,,,,,good
All,2.9_to_inf,All,All,none,All,empl_contr,All,All,,10.5_to_inf,average,,full,yes,,good
All,-inf_to_2.9,All,All,,All,,All,All,,10.5_to_inf,below_average,,,,,good
All,-inf_to_2.9,All,All,tc,All,ret_allw,All,All,no,-inf_to_10.5,below_average,yes,half,,none,bad
All,-inf_to_2.9,All,All,none,All,none,All,All,yes,10.5_to_inf,average,no,none,no,none,bad
All,2.9_to_inf,All,All,tcf,All,,All,All,,10.5_to_inf,generous,,,,,good
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,generous,,full,,full,good
All,-inf_to_2.9,All,All,,All,none,All,All,,10.5_to_inf,below_average,,,,,bad
All,2.9_to_inf,All,All,tcf,All,,All,All,,10.5_to_inf,,,,,,good
All,2.9_to_inf,All,All,,All,,All,All,,-inf_to_10.5,generous,,half,,full,good
All,2.9_to_inf,All,All,,All,,All,All,,-inf_to_10.5,generous,,,,,good
All,-inf_to_2.9,All,All,none,All,none,All,All,,-inf_to_10.5,below_average,,half,yes,full,bad
All,2.9_to_inf,All,All,tcf,All,,All,All,yes,-inf_to_10.5,below_average,yes,none,,half,good
All,2.9_to_inf,All,All,none,All,,All,All,yes,10.5_to_inf,generous,,,yes,full,good
All,2.9_to_inf,All,All,none,All,,All,All,no,10.5_to_inf,below_average,yes,full,yes,full,good
All,-inf_to_2.9,All,All,,All,none,All,All,,-inf_to_10.5,average,,,yes,full,bad
All,2.9_to_inf,All,All,none,All,,All,All,no,10.5_to_inf,average,,half,,,good
All,2.9_to_inf,All,All,tc,All,none,All,All,no,-inf_to_10.5,below_average,yes,half,yes,full,bad
All,-inf_to_2.9,All,All,,All,empl_contr,All,All,,-inf_to_10.5,average,,,,,bad
All,2.9_to_inf,All,All,none,All,none,All,All,no,-inf_to_10.5,below_average,no,none,,none,bad
All,-inf_to_2.9,All,All,tc,All,none,All,All,no,-inf_to_10.5,below_average,no,half,yes,full,bad
All,-inf_to_2.9,All,All,tc,All,ret_allw,All,All,no,10.5_to_inf,generous,no,none,no,none,bad
All,-inf_to_2.9,All,All,none,All,empl_contr,All,All,no,-inf_to_10.5,below_average,yes,half,,none,bad
All,-inf_to_2.9,All,All,,All,empl_contr,All,All,,-inf_to_10.5,average,,,yes,none,bad
All,2.9_to_inf,All,All,none,All,,All,All,,10.5_to_inf,average,yes,full,yes,half,good
All,2.9_to_inf,All,All,none,All,none,All,All,yes,10.5_to_inf,average,no,none,no,none,bad
All,-inf_to_2.9,All,All,none,All,empl_contr,All,All,yes,10.5_to_inf,generous,yes,none,yes,full,bad
All,-inf_to_2.9,All,All,tc,All,empl_contr,All,All,,10.5_to_inf,average,,,yes,,bad
All,2.9_to_inf,All,All,none,All,none,All,All,,-inf_to_10.5,below_average,no,none,,none,bad
All,2.9_to_inf,All,All,,All,,All,All,no,-inf_to_10.5,below_average,no,half,,half,bad
All,2.9_to_inf,All,All,tcf,All,,All,All,,10.5_to_inf,,yes,half,,half,good
All,2.9_to_inf,All,All,none,All,,All,All,,10.5_to_inf,below_average,yes,,,full,good
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,,yes,full,,,good
All,-inf_to_2.9,All,All,tcf,All,empl_contr,All,All,yes,10.5_to_inf,,yes,half,yes,,good
All,2.9_to_inf,All,All,tcf,All,,All,All,,10.5_to_inf,generous,,,yes,full,good
All,2.9_to_inf,All,All,none,All,empl_contr,All,All,,10.5_to_inf,average,yes,full,,full,good
All,2.9_to_inf,All,All,none,All,empl_contr,All,All,,10.5_to_inf,generous,yes,,,full,good
All,2.9_to_inf,All,All,,All,,All,All,,10.5_to_inf,average,,half,yes,half,good
All,2.9_to_inf,All,All,,All,,All,All,,-inf_to_10.5,generous,yes,full,yes,full,good
