x40,x29,x28,x25,x24,x27,x26,x21,x20,x23,x22,x8,x9,x2,x3,x1,x6,x7,x4,x5,x32,x33,x30,x31,x36,x37,x34,x35,x38,x39,x18,x19,x10,x11,x12,x13,x14,x15,x16,x17,class
All,All,All,All,All,All,All,All,0.325_to_inf,All,All,-inf_to_1.375,-inf_to_1.375,-inf_to_-0.445,1.135_to_2.075,All,-inf_to_0.265,2.485_to_3.115,0.395_to_1.375,-inf_to_-0.085,All,All,All,All,All,All,All,All,All,All,2.815_to_inf,0.005_to_1.025,-inf_to_0.945,-inf_to_2.035,2.125_to_2.645,3.715_to_5.355,4.365_to_inf,3.915_to_inf,2.695_to_3.415,1.865_to_2.485,2
All,All,All,All,All,All,All,All,-1.365_to_0.325,All,All,3.275_to_4.345,1.375_to_2.435,-0.445_to_0.515,-inf_to_-0.235,All,1.145_to_1.935,1.115_to_2.055,-0.705_to_0.395,1.475_to_2.105,All,All,All,All,All,All,All,All,All,All,2.115_to_2.815,1.835_to_inf,0.945_to_1.995,-inf_to_2.035,3.285_to_3.975,2.715_to_3.715,4.365_to_inf,3.005_to_3.915,2.695_to_3.415,1.865_to_2.485,0
All,All,All,All,All,All,All,All,-1.365_to_0.325,All,All,3.275_to_4.345,5.145_to_inf,0.515_to_inf,0.525_to_1.135,All,2.735_to_4.075,2.485_to_3.115,1.375_to_2.165,2.105_to_2.825,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,0.005_to_1.025,3.225_to_4.185,-inf_to_2.035,1.215_to_2.125,1.755_to_2.715,-inf_to_1.515,0.225_to_1.095,-inf_to_-0.085,-inf_to_0.265,1
All,All,All,All,All,All,All,All,0.325_to_inf,All,All,-inf_to_1.375,-inf_to_1.375,0.515_to_inf,-0.235_to_0.525,All,-inf_to_0.265,-inf_to_-0.17,1.375_to_2.165,0.745_to_1.475,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,1.835_to_inf,-inf_to_0.945,-inf_to_2.035,3.975_to_4.605,2.715_to_3.715,4.365_to_inf,3.915_to_inf,3.415_to_inf,2.485_to_inf,0
All,All,All,All,All,All,All,All,0.325_to_inf,All,All,2.365_to_3.275,5.145_to_inf,0.515_to_inf,-inf_to_-0.235,All,4.075_to_inf,3.795_to_inf,0.395_to_1.375,2.825_to_inf,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,-inf_to_0.005,4.185_to_4.915,3.225_to_4.315,1.215_to_2.125,1.755_to_2.715,2.375_to_2.885,1.095_to_2.025,-0.085_to_0.605,1.865_to_2.485,1
All,All,All,All,All,All,All,All,-1.365_to_0.325,All,All,3.275_to_4.345,3.825_to_5.145,0.515_to_inf,-inf_to_-0.235,All,1.935_to_2.735,2.055_to_2.485,0.395_to_1.375,1.475_to_2.105,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,-inf_to_0.005,3.225_to_4.185,3.225_to_4.315,3.975_to_4.605,2.715_to_3.715,2.375_to_2.885,3.005_to_3.915,-0.085_to_0.605,-inf_to_0.265,1
All,All,All,All,All,All,All,All,0.325_to_inf,All,All,3.275_to_4.345,3.375_to_3.825,-0.445_to_0.515,2.075_to_inf,All,4.075_to_inf,3.795_to_inf,2.165_to_inf,2.825_to_inf,All,All,All,All,All,All,All,All,All,All,-0.645_to_0.105,0.005_to_1.025,3.225_to_4.185,2.035_to_3.225,1.215_to_2.125,-inf_to_0.745,-inf_to_1.515,0.225_to_1.095,1.835_to_2.695,-inf_to_0.265,0
All,All,All,All,All,All,All,All,-1.365_to_0.325,All,All,3.275_to_4.345,2.435_to_3.375,-0.445_to_0.515,-0.235_to_0.525,All,-inf_to_0.265,1.115_to_2.055,-0.705_to_0.395,-inf_to_-0.085,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,1.025_to_1.835,4.915_to_inf,5.235_to_inf,4.605_to_inf,5.355_to_5.695,2.375_to_2.885,1.095_to_2.025,1.835_to_2.695,1.055_to_1.865,2
All,All,All,All,All,All,All,All,-1.365_to_0.325,All,All,4.345_to_inf,3.825_to_5.145,0.515_to_inf,2.075_to_inf,All,4.075_to_inf,3.795_to_inf,2.165_to_inf,2.825_to_inf,All,All,All,All,All,All,All,All,All,All,0.105_to_1.195,-inf_to_0.005,4.185_to_4.915,2.035_to_3.225,-inf_to_1.215,0.745_to_1.755,-inf_to_1.515,-inf_to_0.225,1.195_to_1.835,-inf_to_0.265,0
All,All,All,All,All,All,All,All,0.325_to_inf,All,All,1.375_to_2.365,1.375_to_2.435,0.515_to_inf,-inf_to_-0.235,All,0.265_to_1.145,-0.17_to_1.115,-inf_to_-0.705,-inf_to_-0.085,All,All,All,All,All,All,All,All,All,All,2.115_to_2.815,1.835_to_inf,3.225_to_4.185,2.035_to_3.225,4.605_to_inf,3.715_to_5.355,3.225_to_4.365,3.005_to_3.915,3.415_to_inf,2.485_to_inf,2
