Speaker Number,Sex,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Class
Andrew,Male,-3.7375_to_-3.355,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-inf_to_-0.4105,All,hid
Andrew,Male,-2.3195_to_-2.1045,0.711_to_1.4125,-inf_to_0.4725,-inf_to_0.1735,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-inf_to_-0.4105,All,hEd
Andrew,Male,-2.3195_to_-2.1045,1.4125_to_2.215,-inf_to_0.4725,0.829_to_inf,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.4105_to_0.12,All,hAd
Andrew,Male,-3.0185_to_-2.3195,1.4125_to_2.215,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-inf_to_0.0765,0.12_to_inf,All,hYd
Andrew,Male,-3.0185_to_-2.3195,1.4125_to_2.215,-inf_to_0.4725,0.1735_to_0.829,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-inf_to_0.0765,0.12_to_inf,All,had
Andrew,Male,-3.7375_to_-3.355,2.215_to_3.1765,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.12_to_inf,All,hOd
Andrew,Male,-4.2625_to_-3.7375,1.4125_to_2.215,-inf_to_0.4725,0.1735_to_0.829,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.4105_to_0.12,All,hUd
Andrew,Male,-3.7375_to_-3.355,1.4125_to_2.215,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.4105_to_0.12,All,hud
Andrew,Male,-3.355_to_-3.0185,1.4125_to_2.215,-inf_to_0.4725,0.1735_to_0.829,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.4105_to_0.12,All,hed
Andrew,Male,-3.7375_to_-3.355,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-inf_to_-0.4105,All,hid
Andrew,Male,-3.355_to_-3.0185,0.4245_to_0.711,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.498,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-inf_to_-0.4105,All,hId
