surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,,>=3,continuous severe pain,absent,severe,,,All,decreased,distended large intestine,All,All,,All,died,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,,,pale cyanotic,<3,intermittent mild pain,absent,slight,,,All,absent,other,All,All,cloudy,All,euthanized,no
no,adult,All,-inf_to_58.0,-inf_to_59.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,All,normal,normal,All,All,,All,lived,no
yes,young,All,58.0_to_inf,59.0_to_inf,cold,normal,dark cyanotic,>=3,depressed,absent,severe,none,>1l,All,decreased,,All,All,serosanguinous,All,died,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,,,dark cyanotic,>=3,,,,,,All,,,All,All,,All,died,no
no,adult,All,58.0_to_inf,-inf_to_59.0,warm,normal,pale pink,<3,depressed,hypomotile,slight,slight,none,All,decreased,firm feces in large intestine,All,All,,All,lived,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,,,<3,,absent,slight,slight,none,All,decreased,distended small intestine,All,All,,All,died,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,cool,absent,pale pink,<3,intermittent severe pain,absent,severe,slight,none,All,decreased,distended large intestine,All,All,,All,euthanized,yes
no,young,All,58.0_to_inf,-inf_to_59.0,normal,,normal pink,<3,continuous severe pain,hypomotile,none,slight,none,All,decreased,,All,All,clear,All,lived,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,bright red,<3,intermittent mild pain,hypomotile,none,slight,none,All,increased,distended large intestine,All,All,cloudy,All,lived,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,warm,,bright pink,<3,depressed,hypermotile,slight,none,none,All,absent,distended small intestine,All,All,,All,lived,yes
yes,adult,All,-inf_to_58.0,-inf_to_59.0,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,All,absent,distended large intestine,All,All,,All,lived,no
no,young,All,58.0_to_inf,-inf_to_59.0,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,All,normal,normal,All,All,clear,All,died,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,normal,normal pink,<3,intermittent mild pain,absent,none,slight,>1l,All,absent,distended small intestine,All,All,clear,All,lived,yes
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,All,absent,,All,All,,All,died,yes
yes,young,All,58.0_to_inf,-inf_to_59.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,significant,,All,absent,distended large intestine,All,All,serosanguinous,All,died,no
no,adult,All,-inf_to_58.0,-inf_to_59.0,,,,,,,,,,All,,,All,All,,All,lived,no
no,adult,All,58.0_to_inf,-inf_to_59.0,cold,reduced,dark cyanotic,,,hypomotile,moderate,,,All,,,All,All,,All,lived,no
yes,adult,All,58.0_to_inf,59.0_to_inf,normal,normal,bright red,>=3,continuous severe pain,absent,severe,significant,none,All,absent,distended small intestine,All,All,cloudy,All,lived,yes
yes,adult,All,-inf_to_58.0,-inf_to_59.0,warm,normal,pale cyanotic,,depressed,hypomotile,none,,,All,normal,,All,All,,All,lived,yes
yes,young,All,58.0_to_inf,59.0_to_inf,,reduced,,<3,depressed,absent,,,,All,,,All,All,,All,lived,yes
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,pale pink,<3,,absent,moderate,significant,>1l,All,,,All,All,,All,lived,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,,,,<3,,,,,,All,,,All,All,,All,lived,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,All,decreased,distended large intestine,All,All,cloudy,All,lived,yes
yes,adult,All,-inf_to_58.0,-inf_to_59.0,cool,normal,normal pink,<3,,hypomotile,slight,none,none,All,normal,firm feces in large intestine,All,All,cloudy,All,lived,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,,,,,,,,,,All,,,All,All,,All,died,no
no,adult,All,-inf_to_58.0,-inf_to_59.0,warm,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,All,,,All,All,,All,lived,no
no,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,>1l,All,absent,distended large intestine,All,All,,All,died,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,pale cyanotic,>=3,depressed,absent,slight,,<1l,All,decreased,firm feces in large intestine,All,All,serosanguinous,All,euthanized,yes
yes,adult,All,58.0_to_inf,-inf_to_59.0,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,All,absent,distended large intestine,All,All,,All,lived,yes
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,All,absent,distended small intestine,All,All,,All,lived,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,cold,reduced,pale pink,>=3,intermittent severe pain,absent,moderate,,<1l,All,,other,All,All,,All,euthanized,yes
no,adult,All,58.0_to_inf,-inf_to_59.0,,reduced,bright red,>=3,,,none,none,>1l,All,,distended large intestine,All,All,cloudy,All,euthanized,no
yes,adult,All,58.0_to_inf,-inf_to_59.0,,reduced,,<3,continuous severe pain,hypomotile,none,,none,All,normal,normal,All,All,clear,All,lived,yes
no,adult,All,-inf_to_58.0,-inf_to_59.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,All,normal,firm feces in large intestine,All,All,clear,All,lived,no
yes,young,All,58.0_to_inf,59.0_to_inf,,,,,,,,,,All,,,All,All,,All,died,yes
yes,adult,All,58.0_to_inf,-inf_to_59.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,moderate,none,<1l,All,absent,distended large intestine,All,All,serosanguinous,All,died,yes
no,young,All,58.0_to_inf,59.0_to_inf,,,,,,,,,,All,,,All,All,,All,lived,yes
