normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
96.5_to_inf,alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,88.5_to_92.15,-inf_to_171.85,63.7_to_64.3,-inf_to_50.35,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,3
96.5_to_inf,alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,92.15_to_94.8,-inf_to_171.85,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,1
96.5_to_inf,audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,97.25_to_100.1,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,29.5_to_inf,8303.5_to_inf,2
96.5_to_inf,audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,97.25_to_100.1,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,2
96.5_to_inf,audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,97.25_to_100.1,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,2
96.5_to_inf,audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,1
96.5_to_inf,audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,1
96.5_to_inf,audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,97.25_to_100.1,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,-inf_to_3.255,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,100.1_to_inf,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,2
96.5_to_inf,bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,171.85_to_186.65,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,1
96.5_to_inf,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,51.8_to_56.15,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,100.1_to_inf,186.65_to_inf,64.3_to_inf,56.25_to_inf,2215.0_to_inf,105.5_to_inf,3.255_to_inf,All,All,87.0_to_inf,All,-inf_to_28.5,-inf_to_29.5,8303.5_to_inf,0
96.5_to_inf,chevrolet,gas,std,two,hatchback,fwd,l,three,2bbl,front,-inf_to_88.5,-inf_to_171.85,-inf_to_63.7,51.8_to_56.15,-inf_to_2215.0,-inf_to_85.0,-inf_to_3.255,All,All,-inf_to_87.0,All,28.5_to_inf,29.5_to_inf,-inf_to_8303.5,2
96.5_to_inf,chevrolet,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,92.15_to_94.8,-inf_to_171.85,-inf_to_63.7,51.8_to_56.15,-inf_to_2215.0,85.0_to_105.5,-inf_to_3.255,All,All,-inf_to_87.0,All,28.5_to_inf,29.5_to_inf,-inf_to_8303.5,1
