Speaker Number,Sex,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Class
Andrew,Male,-4.2625_to_-3.538,-0.1235_to_0.426,-inf_to_0.4725,1.5145_to_inf,-0.7345_to_0.286,1.451_to_inf,-0.6605_to_0.4795,0.083_to_inf,-inf_to_-0.4855,-0.9615_to_inf,hid
Andrew,Male,-3.538_to_-3.0185,0.426_to_0.711,-inf_to_0.4725,0.829_to_1.5145,-0.7345_to_0.286,1.451_to_inf,-0.6605_to_0.4795,0.083_to_inf,-inf_to_-0.4855,-0.9615_to_inf,hId
Andrew,Male,-2.403_to_-1.6645,0.711_to_1.4125,-inf_to_0.4725,0.0525_to_0.829,-0.7345_to_0.286,1.451_to_inf,-0.6605_to_0.4795,0.083_to_inf,-inf_to_-0.4855,-0.9615_to_inf,hEd
Andrew,Male,-2.403_to_-1.6645,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.5145,-1.0915_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.083_to_inf,-0.4855_to_0.122,-0.9615_to_inf,hAd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.5145,-inf_to_-1.0915,-inf_to_1.451,-0.6605_to_0.4795,-0.69_to_0.083,0.122_to_inf,-0.9615_to_inf,hYd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,0.0525_to_0.829,-inf_to_-1.0915,-inf_to_1.451,-0.6605_to_0.4795,-0.69_to_0.083,0.122_to_inf,-0.9615_to_inf,had
Andrew,Male,-3.538_to_-3.0185,2.1435_to_3.1765,-inf_to_0.4725,0.829_to_1.5145,-inf_to_-1.0915,-inf_to_1.451,-0.6605_to_0.4795,0.083_to_inf,0.122_to_inf,-0.9615_to_inf,hOd
Andrew,Male,-4.2625_to_-3.538,2.1435_to_3.1765,-inf_to_0.4725,1.5145_to_inf,-inf_to_-1.0915,-inf_to_1.451,-0.6605_to_0.4795,0.083_to_inf,0.122_to_inf,-0.9615_to_inf,hod
Andrew,Male,-4.2625_to_-3.538,1.4125_to_2.1435,-inf_to_0.4725,0.0525_to_0.829,-0.7345_to_0.286,1.451_to_inf,-0.6605_to_0.4795,0.083_to_inf,-0.4855_to_0.122,-0.9615_to_inf,hUd
Andrew,Male,-4.2625_to_-3.538,1.4125_to_2.1435,-inf_to_0.4725,1.5145_to_inf,-0.7345_to_0.286,1.451_to_inf,-0.6605_to_0.4795,0.083_to_inf,-0.4855_to_0.122,-0.9615_to_inf,hud
