Speaker Number,Sex,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Class
Andrew,Male,-4.5165_to_-3.525,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hid
Andrew,Male,-3.525_to_-3.0055,0.4245_to_0.787,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hId
Andrew,Male,-2.1225_to_-1.4625,0.787_to_1.4125,-inf_to_0.4725,-inf_to_0.149,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hAd
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-0.597_to_0.0765,0.069_to_inf,-0.9615_to_inf,hYd
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-0.597_to_0.0765,0.069_to_inf,-0.9615_to_inf,had
Andrew,Male,-3.525_to_-3.0055,2.2165_to_2.794,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hOd
Andrew,Male,-4.5165_to_-3.525,2.2165_to_2.794,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hod
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hUd
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hud
Andrew,Male,-3.525_to_-3.0055,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hed
Andrew,Male,-4.5165_to_-3.525,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hid
Andrew,Male,-3.525_to_-3.0055,0.4245_to_0.787,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hId
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-0.597_to_0.0765,0.069_to_inf,-0.9615_to_inf,hYd
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-0.597_to_0.0765,0.069_to_inf,-0.9615_to_inf,had
Andrew,Male,-4.5165_to_-3.525,2.2165_to_2.794,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hOd
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hUd
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hud
Andrew,Male,-4.5165_to_-3.525,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hid
Andrew,Male,-2.1225_to_-1.4625,0.787_to_1.4125,-inf_to_0.4725,0.149_to_0.829,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hAd
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hYd
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,-0.597_to_0.0765,0.069_to_inf,-0.9615_to_inf,had
Andrew,Male,-4.5165_to_-3.525,2.2165_to_2.794,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,0.4795_to_inf,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hOd
Andrew,Male,-4.5165_to_-3.525,2.2165_to_2.794,-inf_to_0.4725,0.829_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hod
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-1.104_to_-0.7345,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,0.069_to_inf,-0.9615_to_inf,hUd
Andrew,Male,-4.5165_to_-3.525,1.4125_to_2.2165,-inf_to_0.4725,0.829_to_inf,-0.7345_to_0.182,1.451_to_inf,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hud
Andrew,Male,-3.0055_to_-2.403,1.4125_to_2.2165,-inf_to_0.4725,0.149_to_0.829,-1.104_to_-0.7345,-inf_to_1.451,-0.6605_to_0.4795,0.0765_to_inf,-0.888_to_0.069,-0.9615_to_inf,hed
