attribute_54,attribute_55,attribute_56,attribute_57,attribute_50,attribute_51,attribute_52,attribute_53,attribute_58,attribute_38,attribute_36,attribute_37,attribute_21,attribute_20,attribute_23,attribute_22,attribute_25,attribute_24,attribute_27,attribute_26,attribute_29,attribute_28,attribute_60,attribute_47,attribute_46,attribute_45,attribute_44,attribute_43,attribute_42,attribute_41,attribute_40,attribute_59,attribute_49,attribute_39,attribute_48,attribute_6,attribute_7,attribute_4,attribute_5,attribute_2,attribute_3,attribute_1,attribute_8,attribute_9,attribute_18,attribute_19,attribute_34,attribute_35,attribute_32,attribute_33,attribute_30,attribute_31,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,Class
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,0.5047_to_inf,0.38475_to_inf,-inf_to_0.6496,-inf_to_0.4977,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,0.07585_to_inf,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,0.1164_to_inf,All,All,All,0.19455_to_inf,All,All,All,All,0.16315_to_inf,-inf_to_0.1707,-inf_to_0.22505,0.2059_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01245,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,0.6496_to_inf,0.4977_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,0.052_to_inf,All,-inf_to_0.08145,All,-inf_to_0.02935,All,0.1164_to_inf,All,All,All,0.19455_to_inf,All,All,All,All,0.16315_to_inf,0.1707_to_inf,0.22505_to_inf,0.2059_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,-inf_to_0.6496,-inf_to_0.4977,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,0.09145_to_inf,0.38545_to_inf,-inf_to_0.4289,All,All,All,All,All,0.0594_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,-inf_to_0.16315,-inf_to_0.1707,-inf_to_0.22505,-inf_to_0.2059,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,-inf_to_0.6496,-inf_to_0.4977,All,All,All,All,All,All,All,0.9233_to_inf,All,-inf_to_0.0613,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,0.02935_to_inf,All,0.1164_to_inf,All,All,All,0.19455_to_inf,All,All,All,All,0.16315_to_inf,0.1707_to_inf,0.22505_to_inf,0.2059_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01245,All,All,All,All,-inf_to_0.5047,-inf_to_0.38475,0.6496_to_inf,0.4977_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,0.0594_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,-inf_to_0.16315,-inf_to_0.1707,-inf_to_0.22505,0.2059_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01245,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,-inf_to_0.6496,-inf_to_0.4977,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.0613,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,-inf_to_0.16315,-inf_to_0.1707,-inf_to_0.22505,-inf_to_0.2059,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,0.6496_to_inf,0.4977_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,-inf_to_0.16315,-inf_to_0.1707,-inf_to_0.22505,-inf_to_0.2059,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,-inf_to_0.5047,-inf_to_0.38475,0.6496_to_inf,0.4977_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,-inf_to_0.16315,-inf_to_0.1707,-inf_to_0.22505,-inf_to_0.2059,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01245_to_inf,All,All,All,All,0.5047_to_inf,0.38475_to_inf,-inf_to_0.6496,-inf_to_0.4977,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.0613,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,0.16315_to_inf,0.1707_to_inf,0.22505_to_inf,0.2059_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01245,All,All,All,All,-inf_to_0.5047,0.38475_to_inf,-inf_to_0.6496,0.4977_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.0613_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4289,All,All,All,All,All,-inf_to_0.0594,All,-inf_to_0.07585,All,All,-inf_to_0.052,All,-inf_to_0.08145,All,-inf_to_0.02935,All,-inf_to_0.1164,All,All,All,0.19455_to_inf,All,All,All,All,0.16315_to_inf,-inf_to_0.1707,-inf_to_0.22505,0.2059_to_inf,All,All,All,All,Rock
