checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,15.5_to_inf,existing paid,radio/tv,-inf_to_10918.0,<100,1<=X<4,All,female div/dep/mar,none,All,real estate,All,none,own,All,skilled,All,none,yes,bad
no checking,-inf_to_15.5,critical/other existing credit,education,-inf_to_10918.0,<100,4<=X<7,All,male single,none,All,real estate,All,none,own,All,unskilled resident,All,none,yes,good
<0,15.5_to_inf,existing paid,furniture/equipment,-inf_to_10918.0,<100,4<=X<7,All,male single,guarantor,All,life insurance,All,none,for free,All,skilled,All,none,yes,good
<0,15.5_to_inf,delayed previously,new car,-inf_to_10918.0,<100,1<=X<4,All,male single,none,All,no known property,All,none,for free,All,skilled,All,none,yes,bad
no checking,15.5_to_inf,existing paid,education,-inf_to_10918.0,no known savings,1<=X<4,All,male single,none,All,no known property,All,none,for free,All,unskilled resident,All,yes,yes,good
no checking,15.5_to_inf,existing paid,furniture/equipment,-inf_to_10918.0,500<=X<1000,>=7,All,male single,none,All,life insurance,All,none,own,All,skilled,All,none,yes,good
0<=X<200,15.5_to_inf,existing paid,used car,-inf_to_10918.0,<100,1<=X<4,All,male single,none,All,car,All,none,rent,All,high qualif/self emp/mgmt,All,yes,yes,good
no checking,-inf_to_15.5,existing paid,radio/tv,-inf_to_10918.0,>=1000,4<=X<7,All,male div/sep,none,All,real estate,All,none,own,All,unskilled resident,All,none,yes,good
0<=X<200,15.5_to_inf,critical/other existing credit,new car,-inf_to_10918.0,<100,unemployed,All,male mar/wid,none,All,car,All,none,own,All,high qualif/self emp/mgmt,All,none,yes,bad
0<=X<200,-inf_to_15.5,existing paid,new car,-inf_to_10918.0,<100,<1,All,female div/dep/mar,none,All,car,All,none,rent,All,skilled,All,none,yes,bad
<0,15.5_to_inf,existing paid,business,-inf_to_10918.0,<100,<1,All,female div/dep/mar,none,All,life insurance,All,none,rent,All,skilled,All,none,yes,bad
0<=X<200,-inf_to_15.5,existing paid,radio/tv,-inf_to_10918.0,<100,1<=X<4,All,female div/dep/mar,none,All,car,All,none,own,All,skilled,All,yes,yes,good
<0,15.5_to_inf,critical/other existing credit,new car,-inf_to_10918.0,<100,>=7,All,male single,none,All,car,All,none,own,All,unskilled resident,All,none,yes,bad
<0,-inf_to_15.5,existing paid,new car,-inf_to_10918.0,<100,1<=X<4,All,female div/dep/mar,none,All,car,All,none,rent,All,skilled,All,none,yes,good
no checking,15.5_to_inf,critical/other existing credit,radio/tv,-inf_to_10918.0,no known savings,>=7,All,male single,none,All,life insurance,All,none,own,All,skilled,All,none,yes,good
<0,15.5_to_inf,no credits/all paid,business,-inf_to_10918.0,no known savings,<1,All,male single,none,All,car,All,bank,own,All,skilled,All,none,yes,good
0<=X<200,15.5_to_inf,existing paid,used car,10918.0_to_inf,<100,>=7,All,female div/dep/mar,none,All,no known property,All,none,for free,All,high qualif/self emp/mgmt,All,yes,yes,bad
no checking,15.5_to_inf,existing paid,radio/tv,-inf_to_10918.0,500<=X<1000,>=7,All,male single,none,All,car,All,none,own,All,skilled,All,yes,yes,good
no checking,-inf_to_15.5,critical/other existing credit,new car,-inf_to_10918.0,<100,1<=X<4,All,male single,none,All,car,All,none,own,All,skilled,All,yes,yes,good
<0,-inf_to_15.5,existing paid,radio/tv,-inf_to_10918.0,500<=X<1000,1<=X<4,All,male single,none,All,real estate,All,none,rent,All,skilled,All,none,yes,good
<0,-inf_to_15.5,critical/other existing credit,new car,-inf_to_10918.0,<100,<1,All,male single,none,All,real estate,All,none,rent,All,unskilled resident,All,none,no,good
0<=X<200,-inf_to_15.5,critical/other existing credit,used car,-inf_to_10918.0,100<=X<500,<1,All,male single,none,All,life insurance,All,none,own,All,skilled,All,none,yes,good
no checking,-inf_to_15.5,critical/other existing credit,furniture/equipment,-inf_to_10918.0,no known savings,1<=X<4,All,male mar/wid,none,All,car,All,none,own,All,skilled,All,none,no,good
