a20,a21,a08,a09,a24,a25,a26,a27,a02,a03,a01,a06,a07,a04,a05,a23,a33,a34,a28,a29,a32,a15,a14,a17,a16,a11,a10,a13,a12,a19,a18,a31,a22,a30,class
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,-0.609635_to_-0.00017,0.418075_to_0.995175,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,-0.957365_to_-1.5e-05,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,-0.87839_to_-0.00017,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,-0.79531_to_-0.217515,-inf_to_0.029375,-0.609635_to_-0.00017,0.418075_to_0.995175,-0.96809_to_-0.000155,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.936175_to_0.86022,-0.91183_to_-9e-05,-0.969765_to_0.87076,-0.98825_to_-0.03018,-inf_to_-0.554585,0.001405_to_0.29207,-inf_to_-0.90517,0.08713_to_0.9991,-0.57299_to_0.9891,0.01567_to_0.35474,-inf_to_-0.56293,All,-0.805795_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,0.00143_to_0.96841,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,0.001845_to_0.981525,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,-1.5e-05_to_0.07206,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.00403_to_0.212905,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,0.001155_to_0.82509,0.029375_to_0.999995,-0.609635_to_-0.00017,0.418075_to_0.995175,-0.000155_to_0.18657,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.936175_to_0.86022,-9e-05_to_0.06779,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,-1.5e-05_to_0.07206,-0.983575_to_-0.000375,0.011975_to_0.14853,-0.987455_to_0.89747,0.00403_to_0.212905,-0.96142_to_0.80245,-inf_to_0.52812,All,-inf_to_0.19028,0.5_to_inf,-0.217515_to_-0.000715,-inf_to_0.029375,-0.609635_to_-0.00017,-inf_to_0.04144,-0.000155_to_0.18657,-0.959515_to_-4e-05,0.0054_to_0.95098,-0.936175_to_0.86022,-0.91183_to_-9e-05,-0.969765_to_0.87076,-0.98825_to_-0.03018,-0.554585_to_0.652535,-0.05415_to_0.001405,-0.90517_to_-0.00197,-0.01058_to_0.08713,-0.57299_to_0.9891,-0.076515_to_0.01567,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.029375_to_0.999995,-0.609635_to_-0.00017,0.418075_to_0.995175,0.18657_to_0.999665,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.936175_to_0.86022,-9e-05_to_0.06779,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,-1.5e-05_to_0.07206,-inf_to_-0.983575,-0.036395_to_0.011975,-0.987455_to_0.89747,0.999495_to_inf,0.80245_to_inf,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-0.000715_to_0.001155,0.999995_to_inf,-0.00017_to_0.007075,-inf_to_0.04144,-0.000155_to_0.18657,-4e-05_to_0.001045,-3e-05_to_0.0054,0.86022_to_inf,-9e-05_to_0.06779,0.87076_to_inf,-0.03018_to_0.239955,-0.554585_to_0.652535,0.99815_to_inf,-0.00197_to_0.00143,-inf_to_-0.91576,-0.57299_to_0.9891,-0.076515_to_0.01567,-inf_to_-0.56293,All,0.99361_to_inf,0.99556_to_inf,-0.96798_to_0.923655,-0.91428_to_0.930305,b
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,0.52812_to_0.999945,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.08713_to_0.9991,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-0.912755_to_0.975495,0.07206_to_0.99888,-0.983575_to_-0.000375,0.14853_to_inf,-0.987455_to_0.89747,0.212905_to_0.999495,-0.96142_to_0.80245,-inf_to_0.52812,All,0.19028_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,0.007075_to_0.74685,0.995175_to_inf,0.18657_to_0.999665,0.07861_to_0.994855,-0.974115_to_-3e-05,-0.936175_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,0.29207_to_0.99815,-0.90517_to_-0.00197,0.9991_to_inf,-0.57299_to_0.9891,0.35474_to_0.99838,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.132415_to_0.99556,-0.96798_to_0.923655,-0.91428_to_0.930305,g
-inf_to_-0.912755,0.99888_to_inf,-inf_to_-0.983575,0.14853_to_inf,0.89747_to_inf,0.999495_to_inf,-0.96142_to_0.80245,0.999945_to_inf,All,0.19028_to_inf,0.5_to_inf,-inf_to_-0.79531,0.999995_to_inf,-0.609635_to_-0.00017,0.995175_to_inf,0.999665_to_inf,0.994855_to_inf,-inf_to_-0.974115,-0.936175_to_0.86022,0.997_to_inf,-inf_to_-0.969765,0.99914_to_inf,0.97565_to_inf,0.99815_to_inf,-inf_to_-0.90517,0.9991_to_inf,-0.57299_to_0.9891,0.99838_to_inf,-0.56293_to_-0.00027,All,-0.805795_to_0.99361,0.99556_to_inf,0.923655_to_inf,-inf_to_-0.91428,b
