capital_run_length_longest,word_freq_1999,word_freq_original,word_freq_project,word_freq_credit,'char_freq_\%5B',word_freq_order,word_freq_remove,word_freq_will,word_freq_receive,word_freq_415,word_freq_over,word_freq_technology,word_freq_money,capital_run_length_average,word_freq_parts,word_freq_font,word_freq_george,word_freq_all,'char_freq_\%24',capital_run_length_total,word_freq_people,word_freq_table,word_freq_cs,word_freq_your,word_freq_edu,word_freq_direct,word_freq_addresses,word_freq_make,'char_freq_\%28',word_freq_meeting,word_freq_our,'char_freq_\%3B',word_freq_internet,word_freq_857,word_freq_3d,word_freq_mail,word_freq_you,word_freq_email,word_freq_650,word_freq_hp,word_freq_conference,word_freq_re,word_freq_lab,word_freq_address,word_freq_free,'char_freq_\%23',word_freq_pm,'char_freq_\%21',word_freq_report,word_freq_85,word_freq_data,word_freq_telnet,word_freq_labs,word_freq_business,word_freq_000,word_freq_hpl,class
55.5_to_251.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.245_to_0.985,-inf_to_0.045,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,3.154_to_4.8125,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,-inf_to_0.0125,216.5_to_723.5,-inf_to_0.115,All,-inf_to_0.01,0.605_to_1.025,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,-inf_to_0.002,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,-inf_to_0.015,-inf_to_0.045,-inf_to_0.56,-inf_to_0.045,1.785_to_7.12,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,0.075_to_1.805,0.135_to_inf,-inf_to_0.0075,-inf_to_0.115,0.4145_to_inf,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
55.5_to_251.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,0.01_to_inf,0.245_to_0.985,0.045_to_1.825,-inf_to_0.145,0.265_to_2.365,-inf_to_0.025,0.01_to_inf,4.8125_to_inf,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,0.1035_to_inf,723.5_to_inf,0.115_to_inf,All,-inf_to_0.01,1.025_to_6.6,-inf_to_0.05,-inf_to_1.67,0.025_to_inf,0.075_to_1.69,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,1.785_to_7.12,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,0.075_to_1.805,0.135_to_inf,0.0355_to_inf,-inf_to_0.115,0.0795_to_0.4145,0.035_to_inf,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,0.065_to_inf,0.335_to_inf,-inf_to_0.12,1
251.5_to_inf,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,0.075_to_inf,-inf_to_0.0325,0.045_to_inf,0.01_to_inf,0.245_to_0.985,0.045_to_1.825,-inf_to_0.145,0.075_to_0.265,-inf_to_0.025,0.01_to_inf,4.8125_to_inf,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,0.1035_to_inf,723.5_to_inf,0.115_to_inf,All,-inf_to_0.01,0.255_to_0.605,0.05_to_0.125,-inf_to_1.67,0.025_to_inf,-inf_to_0.075,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,0.805_to_1.785,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,0.015_to_0.125,-inf_to_0.125,-inf_to_0.075,0.04_to_0.135,0.0075_to_0.0355,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,0.335_to_inf,-inf_to_0.12,1
18.5_to_55.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,0.045_to_inf,0.01_to_inf,0.245_to_0.985,0.045_to_1.825,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,3.154_to_4.8125,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,91.5_to_216.5,0.115_to_inf,All,-inf_to_0.01,0.255_to_0.605,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,1.785_to_7.12,-inf_to_0.015,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,0.135_to_inf,-inf_to_0.0075,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
18.5_to_55.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,0.045_to_inf,0.01_to_inf,0.245_to_0.985,0.045_to_1.825,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,3.154_to_4.8125,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,91.5_to_216.5,0.115_to_inf,All,-inf_to_0.01,0.255_to_0.605,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,1.785_to_7.12,-inf_to_0.015,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,0.135_to_inf,-inf_to_0.0075,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
9.5_to_18.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,2.014_to_3.154,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,52.5_to_91.5,-inf_to_0.115,All,-inf_to_0.01,-inf_to_0.255,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.04,-inf_to_0.0075,-inf_to_0.115,-inf_to_0.0045,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
-inf_to_5.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,0.985_to_1.595,0.045_to_1.825,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,1.082_to_2.014,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,0.0125_to_0.0555,91.5_to_216.5,-inf_to_0.115,All,-inf_to_0.01,0.605_to_1.025,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,-inf_to_0.015,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,1.785_to_7.12,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,0.135_to_inf,-inf_to_0.0075,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
9.5_to_18.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,-inf_to_0.045,-inf_to_0.01,-inf_to_0.245,-inf_to_0.045,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,-inf_to_0.01,2.014_to_3.154,All,-inf_to_0.115,-inf_to_0.005,-inf_to_0.235,-inf_to_0.0125,14.5_to_52.5,-inf_to_0.115,All,-inf_to_0.01,-inf_to_0.255,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,-inf_to_0.075,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,0.015_to_inf,-inf_to_0.045,-inf_to_0.56,-inf_to_0.045,-inf_to_0.015,-inf_to_0.015,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.04,-inf_to_0.0075,-inf_to_0.115,-inf_to_0.0045,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
251.5_to_inf,-inf_to_0.105,0.245_to_inf,-inf_to_0.085,0.075_to_inf,-inf_to_0.0325,0.045_to_inf,0.01_to_inf,0.245_to_0.985,0.045_to_1.825,-inf_to_0.145,-inf_to_0.075,-inf_to_0.025,0.01_to_inf,4.8125_to_inf,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,0.1035_to_inf,723.5_to_inf,-inf_to_0.115,All,-inf_to_0.01,1.025_to_6.6,-inf_to_0.05,-inf_to_1.67,-inf_to_0.025,0.075_to_1.69,0.1105_to_0.2925,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,-inf_to_0.015,-inf_to_0.045,-inf_to_0.56,0.045_to_inf,0.805_to_1.785,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,-inf_to_0.075,-inf_to_0.04,0.0075_to_0.0355,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,0.085_to_0.555,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,-inf_to_0.125,-inf_to_0.12,1
18.5_to_55.5,-inf_to_0.105,-inf_to_0.245,-inf_to_0.085,-inf_to_0.075,-inf_to_0.0325,0.045_to_inf,0.01_to_inf,0.245_to_0.985,-inf_to_0.045,-inf_to_0.145,0.265_to_2.365,-inf_to_0.025,-inf_to_0.01,1.082_to_2.014,All,-inf_to_0.115,-inf_to_0.005,0.235_to_1.93,0.0555_to_0.1035,723.5_to_inf,0.115_to_inf,All,-inf_to_0.01,0.605_to_1.025,-inf_to_0.05,-inf_to_1.67,0.025_to_inf,-inf_to_0.075,0.002_to_0.1105,-inf_to_0.455,0.01_to_inf,-inf_to_0.0725,-inf_to_0.015,-inf_to_0.045,-inf_to_0.56,-inf_to_0.045,0.805_to_1.785,0.015_to_inf,-inf_to_0.01,-inf_to_0.12,-inf_to_0.01,-inf_to_0.015,-inf_to_0.125,0.075_to_1.805,-inf_to_0.04,-inf_to_0.0075,-inf_to_0.115,0.0795_to_0.4145,-inf_to_0.035,-inf_to_0.195,-inf_to_0.085,-inf_to_0.045,-inf_to_0.125,-inf_to_0.065,0.125_to_0.335,-inf_to_0.12,1
