Speaker Number,Sex,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Class
Andrew,Male,-3.7685_to_-3.143,-0.1235_to_0.4245,-inf_to_0.4385,1.4965_to_inf,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hid
Andrew,Male,-3.7685_to_-3.143,0.4245_to_0.7165,-inf_to_0.4385,0.8405_to_1.4965,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hId
Andrew,Male,-2.1755_to_-1.4625,0.7165_to_1.2205,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hEd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-1.104_to_-0.396,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hAd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,0.2025_to_inf,All,hYd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,0.2025_to_inf,All,had
Andrew,Male,-3.7685_to_-3.143,2.215_to_3.0665,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,0.2025_to_inf,All,hOd
Andrew,Male,-4.5165_to_-3.7685,2.215_to_3.0665,-inf_to_0.4385,1.4965_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,0.2025_to_inf,All,hod
Andrew,Male,-4.5165_to_-3.7685,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hUd
Andrew,Male,-3.7685_to_-3.143,1.2205_to_2.215,-inf_to_0.4385,1.4965_to_inf,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hud
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hed
Andrew,Male,-3.7685_to_-3.143,-0.1235_to_0.4245,-inf_to_0.4385,1.4965_to_inf,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hid
Andrew,Male,-3.7685_to_-3.143,0.4245_to_0.7165,-inf_to_0.4385,0.8405_to_1.4965,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hId
Andrew,Male,-2.1755_to_-1.4625,0.7165_to_1.2205,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hEd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-1.104_to_-0.396,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,-inf_to_0.2025,All,hAd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,0.2025_to_inf,All,hYd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,0.2025_to_inf,All,had
Andrew,Male,-3.7685_to_-3.143,2.215_to_3.0665,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,0.2025_to_inf,All,hOd
Andrew,Male,-4.5165_to_-3.7685,2.215_to_3.0665,-inf_to_0.4385,1.4965_to_inf,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,0.2025_to_inf,All,hod
Andrew,Male,-4.5165_to_-3.7685,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,0.2025_to_inf,All,hUd
Andrew,Male,-3.7685_to_-3.143,1.2205_to_2.215,-inf_to_0.4385,1.4965_to_inf,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hud
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hed
Andrew,Male,-3.7685_to_-3.143,-0.1235_to_0.4245,-inf_to_0.4385,1.4965_to_inf,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hid
Andrew,Male,-3.7685_to_-3.143,-0.1235_to_0.4245,-inf_to_0.4385,0.8405_to_1.4965,-0.396_to_0.4995,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hId
Andrew,Male,-2.1755_to_-1.4625,0.7165_to_1.2205,-inf_to_0.4385,0.0015_to_0.8405,-1.104_to_-0.396,1.451_to_inf,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hEd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-1.104_to_-0.396,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hAd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,0.0765_to_inf,-inf_to_0.2025,All,hYd
Andrew,Male,-3.143_to_-2.1755,1.2205_to_2.215,-inf_to_0.4385,0.0015_to_0.8405,-inf_to_-1.104,-inf_to_1.451,-0.6605_to_0.4665,-0.69_to_0.0765,0.2025_to_inf,All,had
Andrew,Male,-3.7685_to_-3.143,2.215_to_3.0665,-inf_to_0.4385,0.8405_to_1.4965,-inf_to_-1.104,-inf_to_1.451,0.4665_to_inf,0.0765_to_inf,0.2025_to_inf,All,hOd
