Speaker Number,Sex,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Class
Andrew,Male,-3.7405_to_-3.6375,-0.1235_to_0.4245,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hid
Andrew,Male,-3.6375_to_-3.0185,0.4245_to_0.519,-inf_to_0.4725,0.829_to_1.4965,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hId
Andrew,Male,-2.1225_to_-1.6645,0.519_to_1.4125,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hAd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,hYd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,had
Andrew,Male,-3.6375_to_-3.0185,2.1435_to_3.0665,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hOd
Andrew,Male,-4.245_to_-3.7405,2.1435_to_3.0665,-inf_to_0.4725,1.4965_to_inf,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hod
Andrew,Male,-4.245_to_-3.7405,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hUd
Andrew,Male,-3.7405_to_-3.6375,1.4125_to_2.1435,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hud
Andrew,Male,-3.7405_to_-3.6375,-0.1235_to_0.4245,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hid
Andrew,Male,-3.6375_to_-3.0185,0.4245_to_0.519,-inf_to_0.4725,0.829_to_1.4965,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hId
Andrew,Male,-2.403_to_-2.1225,0.519_to_1.4125,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,-inf_to_0.122,All,hAd
Andrew,Male,-3.0185_to_-2.403,2.1435_to_3.0665,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,hYd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,had
Andrew,Male,-4.245_to_-3.7405,2.1435_to_3.0665,-inf_to_0.4725,1.4965_to_inf,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hod
Andrew,Male,-4.245_to_-3.7405,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hUd
Andrew,Male,-3.7405_to_-3.6375,1.4125_to_2.1435,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hud
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hed
Andrew,Male,-3.7405_to_-3.6375,-0.1235_to_0.4245,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hid
Andrew,Male,-3.6375_to_-3.0185,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_1.4965,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hId
Andrew,Male,-2.1225_to_-1.6645,0.519_to_1.4125,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hAd
Andrew,Male,-3.0185_to_-2.403,2.1435_to_3.0665,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,hYd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,0.122_to_inf,All,had
Andrew,Male,-3.6375_to_-3.0185,2.1435_to_3.0665,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,0.489_to_inf,0.1185_to_inf,0.122_to_inf,All,hOd
Andrew,Male,-4.245_to_-3.7405,2.1435_to_3.0665,-inf_to_0.4725,1.4965_to_inf,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hod
Andrew,Male,-3.7405_to_-3.6375,1.4125_to_2.1435,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hud
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hed
Andrew,Male,-3.6375_to_-3.0185,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_1.4965,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hId
Andrew,Male,-2.1225_to_-1.6645,0.519_to_1.4125,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hAd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hYd
Andrew,Male,-3.0185_to_-2.403,2.1435_to_3.0665,-inf_to_0.4725,-0.0225_to_0.829,-inf_to_-1.1765,-inf_to_1.451,0.489_to_inf,-0.69_to_0.1185,-inf_to_0.122,All,had
Andrew,Male,-3.6375_to_-3.0185,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,0.489_to_inf,0.1185_to_inf,0.122_to_inf,All,hOd
Andrew,Male,-4.245_to_-3.7405,2.1435_to_3.0665,-inf_to_0.4725,1.4965_to_inf,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hod
Andrew,Male,-3.6375_to_-3.0185,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-1.1765_to_-0.7345,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hUd
Andrew,Male,-3.7405_to_-3.6375,1.4125_to_2.1435,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hud
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,-0.0225_to_0.829,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hed
Andrew,Male,-3.6375_to_-3.0185,-0.1235_to_0.4245,-inf_to_0.4725,1.4965_to_inf,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hid
Andrew,Male,-3.6375_to_-3.0185,-0.1235_to_0.4245,-inf_to_0.4725,0.829_to_1.4965,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hId
Andrew,Male,-2.403_to_-2.1225,0.519_to_1.4125,-inf_to_0.4725,-0.0225_to_0.829,-0.7345_to_0.1845,1.451_to_inf,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hEd
Andrew,Male,-2.403_to_-2.1225,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,-inf_to_0.122,All,hAd
Andrew,Male,-3.0185_to_-2.403,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-1.1765_to_-0.7345,-inf_to_1.451,-0.6605_to_0.489,-0.69_to_0.1185,-inf_to_0.122,All,hYd
Andrew,Male,-3.6375_to_-3.0185,2.1435_to_3.0665,-inf_to_0.4725,-0.0225_to_0.829,-1.1765_to_-0.7345,-inf_to_1.451,0.489_to_inf,-0.69_to_0.1185,-inf_to_0.122,All,had
Andrew,Male,-3.6375_to_-3.0185,1.4125_to_2.1435,-inf_to_0.4725,0.829_to_1.4965,-inf_to_-1.1765,-inf_to_1.451,-0.6605_to_0.489,0.1185_to_inf,0.122_to_inf,All,hOd
