CIRCULARITY,ELONGATEDNESS,HOLLOWS RATIO,MAX.LENGTH RECTANGULARITY,SKEWNESS ABOUT_MINOR,PR.AXIS ASPECT RATIO,KURTOSIS ABOUT_MAJOR,SKEWNESS ABOUT_MAJOR,PR.AXIS RECTANGULARITY,SCATTER RATIO,SCALED VARIANCE_MAJOR,SCALED VARIANCE_MINOR,COMPACTNESS,RADIUS RATIO,SCALED RADIUS OF GYRATION,MAX.LENGTH ASPECT RATIO,DISTANCE CIRCULARITY,KURTOSIS ABOUT_MINOR,Class
47.5_to_50.5,41.5_to_44.5,191.5_to_inf,147.5_to_170.5,-inf_to_11.5,68.5_to_86.5,-inf_to_19.5,64.5_to_74.5,19.5_to_20.5,154.5_to_163.5,165.5_to_180.5,350.5_to_389.5,87.5_to_98.5,167.5_to_234.5,170.5_to_192.5,8.5_to_16.0,76.5_to_92.5,185.5_to_191.5,van
40.5_to_47.5,44.5_to_46.5,191.5_to_inf,135.5_to_147.5,-inf_to_11.5,52.5_to_68.5,-inf_to_19.5,64.5_to_74.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_350.5,87.5_to_98.5,-inf_to_167.5,-inf_to_170.5,8.5_to_16.0,76.5_to_92.5,185.5_to_191.5,van
47.5_to_50.5,29.5_to_32.5,191.5_to_inf,147.5_to_170.5,11.5_to_inf,52.5_to_68.5,-inf_to_19.5,64.5_to_74.5,20.5_to_25.5,199.5_to_222.5,194.5_to_243.5,581.5_to_721.5,98.5_to_inf,167.5_to_234.5,192.5_to_251.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
40.5_to_47.5,44.5_to_46.5,191.5_to_inf,135.5_to_147.5,-inf_to_11.5,52.5_to_68.5,-inf_to_19.5,-inf_to_64.5,18.5_to_19.5,140.5_to_154.5,-inf_to_165.5,298.5_to_350.5,87.5_to_98.5,-inf_to_167.5,-inf_to_170.5,8.5_to_16.0,76.5_to_92.5,191.5_to_inf,van
40.5_to_47.5,44.5_to_46.5,-inf_to_191.5,135.5_to_147.5,-inf_to_11.5,86.5_to_inf,-inf_to_19.5,74.5_to_inf,18.5_to_19.5,140.5_to_154.5,194.5_to_243.5,298.5_to_350.5,81.5_to_87.5,167.5_to_234.5,170.5_to_192.5,16.0_to_inf,64.5_to_76.5,177.5_to_181.5,bus
54.5_to_inf,-inf_to_29.5,-inf_to_191.5,147.5_to_170.5,-inf_to_11.5,-inf_to_52.5,-inf_to_19.5,74.5_to_inf,25.5_to_inf,231.5_to_inf,243.5_to_inf,761.5_to_inf,98.5_to_inf,167.5_to_234.5,251.5_to_inf,-inf_to_7.5,92.5_to_inf,177.5_to_181.5,bus
40.5_to_47.5,41.5_to_44.5,191.5_to_inf,135.5_to_147.5,11.5_to_inf,52.5_to_68.5,-inf_to_19.5,64.5_to_74.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,350.5_to_389.5,87.5_to_98.5,167.5_to_234.5,170.5_to_192.5,-inf_to_7.5,64.5_to_76.5,191.5_to_inf,bus
40.5_to_47.5,46.5_to_inf,191.5_to_inf,135.5_to_147.5,-inf_to_11.5,52.5_to_68.5,-inf_to_19.5,64.5_to_74.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,87.5_to_98.5,-inf_to_167.5,-inf_to_170.5,8.5_to_16.0,64.5_to_76.5,191.5_to_inf,van
-inf_to_40.5,46.5_to_inf,191.5_to_inf,-inf_to_135.5,-inf_to_11.5,52.5_to_68.5,-inf_to_19.5,-inf_to_64.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,81.5_to_87.5,-inf_to_167.5,-inf_to_170.5,-inf_to_7.5,-inf_to_64.5,191.5_to_inf,van
40.5_to_47.5,32.5_to_41.5,191.5_to_inf,135.5_to_147.5,-inf_to_11.5,52.5_to_68.5,-inf_to_19.5,-inf_to_64.5,20.5_to_25.5,163.5_to_199.5,194.5_to_243.5,389.5_to_581.5,87.5_to_98.5,167.5_to_234.5,-inf_to_170.5,8.5_to_16.0,92.5_to_inf,191.5_to_inf,saab
