"dataset","IDS.csv","IDSQCBA_R_noPruning_ATTPRUNING_TRUE.csv","117-noExtend-D-mci=-1-cba.csv","198-numericOnly-T-Pcba-A-mci=-1-qcba.csv","SBRL-Long.csv","SBRLQCBA-noPruning-Long.csv","../CBA_results/198-numericOnly-T-Pcba-A-mci=-1-qcba.csv.x","../CORELS_results/CORELS.csv","../CBA_results/198-numericOnly-T-Pcba-A-mci=-1-qcba.csv.y","J48-accuracy.csv","../CBA_results/198-numericOnly-T-Pcba-A-mci=-1-qcba.csv.x_1","PART-accuracy.csv","../CBA_results/198-numericOnly-T-Pcba-A-mci=-1-qcba.csv.y_1","RIPPER-accuracy.csv","../CBA_results/198-numericOnly-T-Pcba-A-mci=-1-qcba.csv","FURIA-accuracy_missing_omitted.csv","../CMAR_results/CMAR-default_mci-1-noPruning.csv","../CMAR_results/CMAR_QCBA-default_mci-1-noPruning.csv","../CPAR_results/CPAR-default_mci-1-noPruning.csv","../CPAR_results/CPAR_QCBA-default_mci-1-noPruning.csv","../FOIL2_results/FOIL2-default_mci-1-noPruning.csv","../FOIL2_results/FOIL2_QCBA-default_mci-1-noPruning.csv","../PRM_results/PRM-default_mci-1-noPruning.csv","../PRM_results/PRM_QCBA-default_mci-1-noPruning.csv"
"anneal",0.761755809733338,0.761755809733338,0.992221947839925,0.992221947839925,NA,NA,NA,NA,0.992221947839925,0.9399678318,0.992221947839925,0.9466855616,0.992221947839925,0.94320182,0.992221947839925,0.989,0.987776396512351,0.98882562506158,0.982232776586709,0.992221673457628,0.991110562346517,0.993295596413574,0.985591362445295,0.992221673457628
"australian",0.55507977103885,0.691329314334429,0.849171842650104,0.866670929241262,0.836252587991718,0.849256485202777,0.866670929241262,0.853645719157228,0.866670929241262,0.8637297528,0.866670929241262,0.8637291438,0.866670929241262,0.8508506881,0.866670929241262,0.855,0.868098891730605,0.844886128364389,0.855094994519547,0.837826086956522,0.8273645110218,0.857993545244184,0.855094994519547,0.84639751552795
"autos",0.386967236932912,0.400481729686535,0.787627583451382,0.782989902291962,NA,NA,NA,NA,0.782989902291962,0.7888629182,0.782989902291962,0.7770693945,0.782989902291962,0.2262939959,0.782989902291962,0.782,0.806102393665323,0.802474029276089,0.690801096945262,0.760896080781664,0.76640260070466,0.819233046384076,0.697413461189205,0.755896080781664
"breast-w",0.942772577493949,0.95701746712157,0.948506983932581,0.948464992855685,0.941342839646575,0.947036421427113,0.948464992855685,0.941342839646575,0.948464992855685,0.944180445,0.948464992855685,0.9570381711,0.948464992855685,0.9584874464,0.948464992855685,0.958,0.968508150351384,0.94569008252413,0.951302598197883,0.959936138570554,0.945690665733532,0.959936721779955,0.951302598197883,0.958507567141982
"colic",0.698119171803382,0.703674727358938,0.791149043780623,0.788517464833254,0.807657657657658,0.815552394499763,0.788517464833254,0.859103840682788,0.788517464833254,0.8591038407,0.788517464833254,0.856401138,0.788517464833254,0.8398055951,0.788517464833254,0.832,0.815623518255097,0.794136241504662,0.810067962699542,0.823214003477161,0.810067962699542,0.793914967599178,0.810067962699542,0.823214003477161
"credit-a",0.691203872853489,0.705740470101084,0.852303617099013,0.853690171720862,0.844887346242845,0.85217634880039,0.853690171720862,0.849380708805261,0.853690171720862,0.8609791743,0.853690171720862,0.8638150043,0.853690171720862,0.849088418,0.853690171720862,0.862,0.866650225307514,0.84215625380587,0.855116307392522,0.855116307392522,0.843646937035684,0.837765801972963,0.855116307392522,0.855116307392522
"credit-g",0.7,0.7,0.762,0.758,0.709,0.71,0.758,0.709,0.758,0.716,0.758,0.725,0.758,0.72,0.758,0.725,0.731,0.742,0.701,0.721,0.713,0.721,0.704,0.727
"diabetes",0.664131920710868,0.664149008885851,0.747470950102529,0.769617224880383,0.735765550239234,0.733185235816815,0.769617224880383,0.744890635680109,0.769617224880383,0.7358509911,0.769617224880383,0.7384483937,0.769617224880383,0.7526315789,0.769617224880383,0.746,0.757877648667122,0.768318523581682,0.743540669856459,0.746172248803828,0.759090909090909,0.763123718386876,0.747436773752563,0.74876965140123
"glass",0.47230064621369,0.458209737122781,0.723595896856766,0.693098375054897,NA,NA,NA,NA,0.693098375054897,0.6509046992,0.693098375054897,0.6902726018,0.693098375054897,0.0608695652,0.693098375054897,0.717,0.710768868812347,0.711656942091725,0.672589873894222,0.721992910471171,0.705272601794341,0.719148942844595,0.677135328439676,0.721992910471171
"heart-statlog",0.622222222222222,0.696296296296296,0.814814814814815,0.811111111111111,0.737037037037037,0.751851851851852,0.811111111111111,0.762962962962963,0.811111111111111,0.7592592593,0.811111111111111,0.8296296296,0.811111111111111,0.7740740741,0.811111111111111,0.815,0.822222222222222,0.814814814814815,0.822222222222222,0.822222222222222,0.833333333333333,0.818518518518519,0.807407407407407,0.803703703703704
"hepatitis",0.794191176470588,0.794191176470588,0.801593137254902,0.820024509803921,0.762941176470588,0.768823529411765,0.820024509803921,0.807156862745098,0.820024509803921,0.8067401961,0.820024509803921,0.7812745098,0.820024509803921,0.7941911765,0.820024509803921,0.811,0.832156862745098,0.800441176470588,0.788774509803922,0.807524509803921,0.812622549019608,0.807156862745098,0.820441176470588,0.819656862745098
"hypothyroid",0.922860147892428,0.943252446454946,0.98091997132404,0.986488184025216,NA,NA,NA,NA,0.986488184025216,0.9957608393,0.986488184025216,0.9936423246,0.986488184025216,0.9949622653,0.986488184025216,0.995,0.964468562839062,0.992318158665842,0.976136955213865,0.990989786049671,0.990459282070891,0.993907572892821,0.975077335834759,0.990989786049671
"ionosphere",0.67249299719888,0.669878618113912,0.922553688141924,0.891834733893557,0.90000466853408,0.905560224089636,0.891834733893557,0.868884220354808,0.891834733893557,0.8741876751,0.891834733893557,0.8830112045,0.891834733893557,0.9143837535,0.891834733893557,0.889,0.922385620915033,0.89984126984127,0.916914098972923,0.92295985060691,0.910541549953315,0.925658263305322,0.928678804855276,0.917240896358544
"iris",0.9,0.946666666666667,0.933333333333333,0.94,NA,NA,NA,NA,0.94,0.94,0.94,0.9266666667,0.94,0.94,0.94,0.933,0.926666666666667,0.96,0.946666666666667,0.933333333333333,0.933333333333333,0.94,0.946666666666667,0.933333333333333
"labor",0.633333333333333,0.65,0.86,0.876666666666667,NA,NA,NA,NA,0.876666666666667,0.71,0.876666666666667,0.8433333333,0.876666666666667,0.1,0.876666666666667,0.74,0.876666666666667,0.893333333333333,0.816666666666667,0.926666666666667,0.806666666666667,0.843333333333333,0.82,0.91
