"dataset","IDSQCBA_R_noPruning_ATTPRUNING_TRUE.csv","198-numericOnly-T-Pcba-A-mci=-1-qcba.csv","SBRLQCBA-noPruning-Long.csv","../CORELS_results/CORELS.csv","J48-accuracy.csv","PART-accuracy.csv","RIPPER-accuracy.csv","FURIA-accuracy_missing_omitted.csv","../CMAR_results/CMAR_QCBA-default_mci-1-noPruning.csv","../CPAR_results/CPAR_QCBA-default_mci-1-noPruning.csv","../FOIL2_results/FOIL2_QCBA-default_mci-1-noPruning.csv","../PRM_results/PRM_QCBA-default_mci-1-noPruning.csv","qcbawins","max","bestAlg"
"anneal",0,0,NA,NA,1,1,1,0,0,1,0,0,0.4,0.993295596413574,"../FOIL2_results/FOIL2_QCBA-default_mci-1-noPruning.csv"
"australian",1,1,1,1,1,1,1,1,0,0,1,0,0.75,0.868098891730605,"../CMAR_results/CMAR-default_mci-1-noPruning.csv"
"autos",1,0,NA,NA,0,0,1,0,0,1,1,1,0.5,0.819233046384076,"../FOIL2_results/FOIL2_QCBA-default_mci-1-noPruning.csv"
"breast-w",1,0,1,1,1,0,0,0,0,1,1,1,0.583333333333333,0.968508150351384,"../CMAR_results/CMAR-default_mci-1-noPruning.csv"
"colic",0,0,1,0,0,0,0,0,0,1,0,1,0.25,0.8591038407,"../CORELS_results/CORELS.csv"
"credit-a",1,0,1,0,0,0,0,0,0,0,0,0,0.166666666666667,0.866650225307514,"../CMAR_results/CMAR-default_mci-1-noPruning.csv"
"credit-g",0,0,0,1,1,1,1,1,1,1,1,1,0.75,0.762,"117-noExtend-D-mci=-1-cba.csv"
"diabetes",0,1,0,1,1,1,1,1,1,1,0,0,0.666666666666667,0.769617224880383,"198-numericOnly-T-Pcba-A-mci=-1-qcba.csv"
"glass",0,0,NA,NA,1,0,1,0,0,1,1,1,0.5,0.723595896856766,"117-noExtend-D-mci=-1-cba.csv"
"heart-statlog",1,0,1,1,1,0,1,0,0,0,0,0,0.416666666666667,0.833333333333333,"../FOIL2_results/FOIL2-default_mci-1-noPruning.csv"
"hepatitis",0,1,1,1,1,1,1,1,0,1,0,0,0.666666666666667,0.832156862745098,"../CMAR_results/CMAR-default_mci-1-noPruning.csv"
"hypothyroid",1,1,NA,NA,0,0,0,0,1,1,0,1,0.5,0.9957608393,"J48-accuracy.csv"
"ionosphere",0,0,1,1,1,1,0,0,0,0,1,0,0.416666666666667,0.928678804855276,"../PRM_results/PRM-default_mci-1-noPruning.csv"
"iris",1,1,NA,NA,0,1,0,1,1,0,1,0,0.6,0.96,"../CMAR_results/CMAR_QCBA-default_mci-1-noPruning.csv"
"labor",1,1,NA,NA,1,1,1,1,1,1,1,1,1,0.926666666666667,"../CPAR_results/CPAR_QCBA-default_mci-1-noPruning.csv"
"letter",1,1,NA,NA,0,NA,0,NA,1,1,1,1,0.75,0.8793571774,"J48-accuracy.csv"
"lymph",1,0,NA,NA,1,1,1,0,0,0,1,1,0.6,0.866,"FURIA-accuracy_missing_omitted.csv"
"segment",0,0,NA,NA,0,0,0,0,1,1,1,1,0.4,0.969,"FURIA-accuracy_missing_omitted.csv"
"sonar",1,1,0,1,1,1,1,0,0,1,0,1,0.666666666666667,0.793,"FURIA-accuracy_missing_omitted.csv"
"spambase",0,0,0,1,0,0,0,0,1,0,1,1,0.333333333333333,0.9371841621,"PART-accuracy.csv"
"vehicle",1,1,NA,NA,0,0,1,0,1,1,1,1,0.7,0.7290281948,"PART-accuracy.csv"
"vowel",1,1,NA,NA,0,0,0,0,1,1,1,1,0.6,0.8333333333,"J48-accuracy.csv"
