Dataset,total unique vals,unique for numerical attributes
iris,126,123
australian,1169,1169
anneal,221,178
autos,986,926
breast-w,91,89
colic,397,340
credit-a,1171,1129
credit-g,1077,1021
diabetes,1256,1254
glass,945,939
heart-statlog,386,384
ionosphere,8150,8148
labor,98,75
letter,282,256
lymph,63,15
segment,12737,12730
sonar,11258,11256
vehicle,1434,1430
vowel,8115,8087
hepatitis,351,323
spambase,15096,15096
hypothyroid,1120,1070
kdd1000_,2073,2035
kdd10000_,13452,13376
kdd20000_,24650,24563
kdd30000_,35721,35630
kdd40000_,46450,46357
kdd50000_,57271,57177
kddfull,513489,513386
discretized datasets (fold 0)
iris,15,0
australian,28,10
anneal,71,0
autos,110,6
breast-w,31,0
colic,67,0
credit-a,53,0
credit-g,66,2
diabetes,20,0
glass,28,0
heart-statlog,25,6
ionosphere,131,3
labor,33,0
letter,177,0
lymph,53,0
segment,175,1
sonar,85,0
vehicle,76,0
vowel,65,0
hepatitis,37,0
spambase,156,2
hypothyroid,70,0
kdd1000_,160,19
kdd10000_,268,15
kdd20000_,324,16
kdd30000_,349,17
kdd40000_,376,14
kdd50000_,413,16
